Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"PB1,PB2,PB3,PB4",311020004,4
"R1,R4",301010299,2
Q1,305030015,1
"C1,C2,C7",302010138,3
"C3,C6",302010103,2
"R2,R3",301010289,2
"C4,C5",302010097,2
Q2,306010054,1
